	6.08E+03	5.80E+07	-3.80E+05	1.53E+05	1.21E+05
	6.15E+03	5.83E+07	-3.85E+05	1.42E+05	1.51E+05
	6.22E+03	5.93E+07	-3.83E+05	1.58E+05	2.08E+05
	6.28E+03	5.96E+07	-3.87E+05	3.23E+05	8.82E+04
	6.35E+03	6.01E+07	-3.88E+05	0.00E+00	6.48E+04
	6.42E+03	6.12E+07	-3.84E+05	8.76E+04	2.91E+05
	6.48E+03	6.14E+07	-3.90E+05	1.00E+06	6.94E+05
	6.55E+03	6.25E+07	-4.00E+05	9.91E+05	9.53E+05
	6.61E+03	6.27E+07	-4.06E+05	8.64E+05	8.18E+05
	6.68E+03	6.33E+07	-4.15E+05	6.00E+05	6.58E+05
	6.75E+03	6.44E+07	-4.16E+05	5.11E+05	5.35E+05
	6.81E+03	6.43E+07	-4.23E+05	4.93E+05	3.12E+05
	6.88E+03	6.57E+07	-4.24E+05	0.00E+00	9.85E+04
	6.94E+03	6.57E+07	-4.22E+05	0.00E+00	1.15E+05
	7.01E+03	6.68E+07	-4.22E+05	5.43E+05	3.25E+05
	7.08E+03	6.74E+07	-4.31E+05	5.62E+05	4.00E+05
	7.14E+03	6.75E+07	-4.31E+05	9.61E+04	2.90E+05
	7.21E+03	6.88E+07	-4.33E+05	2.11E+05	3.73E+05
	7.28E+03	6.88E+07	-4.35E+05	8.11E+05	5.57E+05
	7.34E+03	7.01E+07	-4.46E+05	6.50E+05	3.85E+05
	7.41E+03	7.03E+07	-4.46E+05	0.00E+00	4.33E+03
	7.47E+03	7.07E+07	-4.41E+05	0.00E+00	0.00E+00
	7.54E+03	7.20E+07	-4.40E+05	5.22E+05	3.88E+05
	7.61E+03	7.20E+07	-4.50E+05	9.75E+05	6.07E+05
	7.67E+03	7.32E+07	-4.56E+05	3.25E+05	3.59E+05
	7.74E+03	7.33E+07	-4.55E+05	0.00E+00	4.74E+04
	7.80E+03	7.41E+07	-4.53E+05	3.87E+04	1.91E+05
	7.87E+03	7.51E+07	-4.56E+05	7.55E+05	5.47E+05
	7.94E+03	7.50E+07	-4.65E+05	8.48E+05	4.91E+05
	8.00E+03	7.63E+07	-4.70E+05	0.00E+00	6.69E+04
	8.07E+03	7.63E+07	-4.63E+05	0.00E+00	0.00E+00
	8.13E+03	7.76E+07	-4.61E+05	3.41E+05	2.53E+04
	8.20E+03	7.80E+07	-4.69E+05	2.53E+05	1.82E+05
	8.27E+03	7.83E+07	-4.66E+05	0.00E+00	2.27E+05
	8.33E+03	7.93E+07	-4.68E+05	4.76E+05	3.99E+05
